topic,category,question,answer,keywords,timestamp
Procedures for Visa Renewal,Visa/Immigration,هل ممكن اقدم على الفيزة ابو ثلاث سنوات مع العلم ان الفيزة حق اللي بجددها مدتها سنة؟,بالنسبة للتجديد ما يمديك تختار هم بيختاروا لك سنه من عندهم.,"['تجديد فيزا', 'مدة الفيزة', 'إجراءات']",2024-09-10
Registration Requirements for Language Studies,Academic,لو واحد خلص إنجليزي في معهد الجامعة ، ايش الإجراءات عشان يسجل في البردجنق؟,يروح F54.,"['إنجليزي', 'معهد', 'تسجيل']",2024-09-10
Late Submission Policies for Visa,Visa/Immigration,اذا تاخرت في تسليم الملفات 4-6 اسابيع تصير عليك غرامه؟,"نعم، إذا تأخرت 5-7 weeks قبل expiry - fine RM50; 2-4 weeks قبل expiry - fine RM100; أقل من 2 weeks - fine RM150 + RM1,100 for Special Pass.","['غرامة', 'تسليم متأخر', 'تجديد فيزا']",2024-09-12
Visa Renewal Process for Students,Visa/Immigration,ما المطلوب عشان امدد الفيزا كمان سمستر؟,طلع study plan من الكلية حقك وشوف المواد الي ممكن تعيدها واعمل جدول وقعه من السوبر فايزر حقك.,"['تجديد فيزا', 'خطة الدراسة', 'متطلبات']",2024-09-13
Important Alerts for Students,Visa/Immigration,أي إجراءات تحتاج تسويها بعد تأجيل الدراسة?,يجب على الطلاب إلغاء تأشيراتهم الدراسية في حال تأجيل دراستهم، باستثناء الحالات الصحية.,"['تأجيل دراسة', 'إلغاء تأشيرات', 'إجراءات']",2024-09-14
Cancellation of Student Visas for Study Deferral,Visa/Immigration,هل يجب على الطلاب إلغاء تأشيراتهم الدراسية في حال تأجيل دراستهم؟,نعم، يجب على الطلاب إلغاء تأشيراتهم الدراسية والعودة إلى بلادهم باستثناء الحالات الصحية.,"['تأشيرات', 'طلاب', 'تأجيل دراسة']",2024-09-14
English Language Study Options,Academic,لو واحد دخل الجامعة ودفع رسوم الجامعة ويريد ان يدرس انجليزي في KL، هل الجامعة تعطيه الفيزا عادي؟,يقدر يدرس في معهد ELS في KL ايوة غير كذا لا.,"['تأشيرة', 'دراسة إنجليزية', 'KL', 'معهد']",2024-09-18
Renewal of Visa Costs,Visa/Immigration,كم سعر تجديد الفيزا؟,810 تقريبا في هذا الحدود.,"['تجديد الفيزا', 'تكاليف']",2024-09-16
Obtaining Early Certificate,Academic,متى نستطيع ناخذ الشهادة بعد تقديم طلب شهادة مبكرة؟,تستلمها لما يجيلك ايميل 'ready to collect' الوقت على حسب ولكن تقريبا اسبوع.,"['شهادة', 'طلب مبكر', 'تسليم']",2024-09-15
Accommodation in University,Student Life,كيف أبحث عن سكن مع طلاب آخرين؟,نصيحتي للطلاب الجدد انه يسكن في الجامعة أول ترم إلى ما يرتب سكنه مع شباب يكونوا متفقين.,"['سكن', 'طلاب جدد', 'جامعة']",2024-09-19
International Student Contact Email,Other,ما هو إيميل ال International؟,iscjb@utm.my,"['إيميل', 'الهيئة الدولية', 'اتصال']",2024-09-16
Examination Result Inquiry,Academic,هل يمكنني الحصول على نتيجة الامتحان إذا كنت لدي outstanding؟,يمكنك الدخول على UTM portal- Student portal-slip- examination slip.,"['نتيجة الامتحان', 'outstanding', 'بوابة UTM']",2024-09-15
Check for Class Schedule,Student Life,هل هناك دوام في الجامعة غداً؟,يوم غد إجازة والثلاثاء دوام في جوهور.,"['دوام', 'إجازة', 'جدول']",2024-09-15
فحص حالة الفيزا,Visa/Immigration,هل أرسل ملفات تجديد الفيزا واتجاهل هذه المشكلة أم يجب حلها أولا؟,تواصل معهم عبر الايميل وبيطلبوا منك بياناتك وبيعدلوا لك السستم.,"['تجديد الفيزا', 'تعديل', 'مشكلة']",2024-09-19
الفحص الطبي للجامعة,Student Life,هل عيادة الجامعة فاتحة ول مغلقة؟ هل دوامهم 24 ساعة؟,إلى الساعة 4 عصرًا فاتحة.,"['عيادة الجامعة', 'دوام', 'فحص طبي']",2024-09-20
استفسار عن اختبار الفاونديشن,Academic,ممكن حد يرسل دروس ونماذج أو أي شيء مفيد لاختبار الفاونديشن بجامعة UTM؟,هذي المجموعة فيها روابط لملفات اختبارات سابقة.,"['دروس', 'نماذج', 'اختبار فاونديشن']",2024-09-23
تجديد الفيزا والفرص المتاحة,Visa/Immigration,إذا في طالب جاء ودرس الإنجليزي ستة شهور ودخل البرجينج وما نجح، هل ستُكنسل الفيزا عند تجديدها؟,يقدر يجددها في حال عاد للمره الأولى ولكن إذا عاد مره ثانيه مايقدر يجدد.,"['تجديد الفيزا', 'الإنجليزي', 'البرجينج']",2024-09-20
روابط للتحضير للاختبار,Academic,فيه مكان لوزن الأغراض؟,لديك فرع Setia tropika.,"['وزن الأغراض', 'اختبار']",2024-09-23
كيف تأجيل ترم في الجامعة,Academic,حاب استفسر عن كيفية تأجيل ترم وانا مسافر هل اقدر وكيف طريقه لاهنتم,أي كلية انت؟,"['تأجيل ترم', 'سفر', 'استفسار']",2024-09-24
دفع رسوم الجامعة,Academic,شباب الى دفعو رسوم الجامعه,لا ادفع بشكل منفرد. ادفع 30 بس وادخل الموقع وتختار category حق تجديد الفيزه وادفع بشكل منفصل.,"['رسوم', 'الجامعة', 'تجديد الفيزا']",2024-09-24
اختبار اللغة الإنجليزية,Academic,اذا الواحد اختبر اختبار لانكويز سكل حق الانجليزي اولاين هل يقبلوه,لازم يكون عن طريق نفس المركز الماليزي اللي utm تتعامل معاه.,"['اختبار', 'لغة إنجليزية', 'اجتياز']",2024-09-24
استلام الجواز بعد تجديد الفيزا,Academic,شباب اقدر اخلي واحد يستلم الجواز بدالي بعد تجديد الفيزا من ال UTMi؟,نعم، يرسل إيميل فيه معلومات اللي بيستلم عليه الجواز، ويذكر لهم سبب ليش ما يقدر يجي يأخذه.,"['استلام جواز', 'تجديد فيزا', 'الجامعة']",2024-09-26
متطلبات تجديد الجواز,Other,كيف أطلع ذول المتطلبات ؟,متطلبات تجديد الجواز تشمل: فورم التجديد من السفاره، الصفحه الأولى من الجواز، verification letter، صوره الفيزه، الايكاد، ختم الدخول إلى ماليزيا، صوره شخصيه.,"['تجديد جواز', 'متطلبات', 'الوثائق']",2024-09-26
رسوم السكن,Student Life,شباب بغيت استفسر أنا علي رسوم ما دفعتها للآن لسكن ال Klg متى آخر مهلة للدفع؟,عادة يعطون أسبوع - 10 أيام ثم يفصلون الكهرباء.,"['رسوم السكن', 'مهلة', 'دفع']",2024-09-26
فتح المكتبة في الجامعة,Student Life,هل غدا المكتبه اللي بالجامعة مفتوحة والا لا,نعم.,"['فتح المكتبة', 'الجامعة', 'استفسار']",2024-09-27
Library Opening Hours,Academic,هل غدا المكتبه اللي بالجامعة مفتوحة والا لا,نعم,"['library', 'opening hours', 'university']",2024-09-27
Additional Documents for Entering Malaysia,Visa/Immigration,هل لازم أخذ مستندات اضافيه إذا بدخل ماليزيا بجواز جديد ما عليه فيزة طالب ؟,لا يكفي الجواز القديم,"['Malaysia', 'visa', 'new passport']",2024-09-27
Form Submission for Arrival to Malaysia,Visa/Immigration,ممكن رابط الفورم الي تعبيه قبل ما تجي ماليزيا,https://imigresen-online.imi.gov.my/mdac/main,"['arrival form', 'Malaysia', 'visa']",2024-09-28
Requirements for Opening a Bank Account at RHB,Other,أيش المتطلبات لفتح حساب في بنك RHB ؟,1- جواز سفر 2- فيزا فعالة 3- إذن من الجامعة (تقدر تحصله عن طريق تعبي فورم معين تحصله بلUTMi) 3- بيطلبوا منك تودع مبلغ بالحساب,"['bank account', 'RHB', 'requirements']",2024-09-29
Academic Verification vs. Offer Letter,Academic,ال verification letter هي ال offer letter?,"لا, verification طلعها من utm portal","['verification letter', 'offer letter', 'academic verification']",2024-09-29
Special Registration Course Enrollment Dates,Academic,تنزيل المواد حق الspecail registration متى يفتح,2-4 October,"['special registration', 'course enrollment', 'dates']",2024-09-29
Excess Baggage Fees,Other,أيش مسموح للوزن واذا زاد الوزن ياخذو على الكيلو ولا كيف ؟,إذا زاد كيلو ونص أو اثنين كيلو، أخذوا عليا 400 سعودي.,"['baggage', 'excess weight', 'fees']",2024-09-28
Best Way to Convert Saudi Riyals to Malaysian Ringgit,Other,شباب وش أفضل طريقة تحويل حاليا من الريال السعودي للرنجت؟,افضل طريقة جربتها و كانت سريعة و رخيصة هي ويسترن يونين من خلال التطبيق حقهم و يوصل لحسابك البنكي على طول في اقل من نص ساعة. الرسوم ياخذ منك تقريبا ١٥ درهم.,"['money transfer', 'Saudi Riyal', 'Malaysian Ringgit']",2024-09-30
Western Union Sender Requirements,Other,ياشباب وسترن يونيون يطلب رقم هوية المستلم من المرسل اذا جا يرسل؟,نعم رقم الجواز لازم. واسم صاحب الجواز لازم يكون مطابق كله للاسم اللي عندهم.,"['Western Union', 'ID number', 'passport', 'sender']",2024-01-07
Visa Requirements for Travel to Egypt,Visa/Immigration,هل في حد منكم قد سافر لمصر من هنا. لو في حد بالله اشتي اعرف ايش متطلبات الفيزة وكيف اطلعها.,إذا ماعندك مشكلة تعلمنا الطريقة بكون شاكر جدا.,"['travel', 'Egypt', 'visa requirements']",2024-01-07
Renewal of Visa Process,Visa/Immigration,ممكن طريقة تجديد الفيزا.,أنت لازم تبدأ تجهز الأوراق حقك من الآن مع Academic office تبعك. وبعدين تقدم لوما يطلع للتسعين لازم تجي في فترة شهر ونص.,"['visa renewal', 'documents', 'academic office']",2024-01-07
Payment Deadline for Semester,Academic,ابغى اسأل متى آخر موعد حق الدفع لهذا السمستر؟,مافيه موعد. بس اذا ماصفيت ال outstanding قبل تسجيل السمستر الجاي ماتقدر تسجل.,"['payment', 'semester', 'deadline']",2024-01-07
Digital Arrival Card Requirement,Other,متى احتاج اعبي الكرت digital arrival card?,قبل الرحلة ب ٣ ايام شاملة تاريخ الرحلة.,"['digital arrival card', 'requirements', 'travel']",2024-01-07
Verification Letter for Passport Renewal,Visa/Immigration,ياشباب الافادة الجامعية الي مطلوبة في تجديد الجواز هي نفسها الverification letter صح؟,نعم.,"['university verification letter', 'passport renewal']",2024-01-07
Contact Information for New Library Location,Academic,ممكن موقع المكتبة الجديدة في الجامعة؟,https://maps.app.goo.gl/tR7yY9sWQhxZt4Bf7?g_st=iw,"['library', 'university', 'location']",2024-07-06
E-Learning Access via Moodle App,Academic,كيف يمكنني الوصول إلى E-learning؟,لو تبغى وصول لل e learning نزل تطبيق moodle.,"['e-learning', 'Moodle', 'university']",2024-07-06
University Clinic Opening Hours,Student Life,متى تفتح عيادة الجامعة؟,8 am,"['clinic', 'university', 'opening hours']",2024-07-07
Public Holiday Schedule,Academic,هل اليوم هو عطلة عامة؟,حسب الUTM calendar بكره.,"['public holiday', 'University calendar']",2024-07-07
Final Exam Procedures for Sick Students,Academic,هل إذا مريض يمكنني تأجيل الاختبار؟,ايوه، تقريبا بداية السمستر الجاي يعيده. ولكن يجب أن تقدم عذر طبي خلال 24 ساعة بعد الاختبار.,"['final exam', 'medical certificate', 'reschedule']",2024-07-07
Method to Download Registration Slip,Academic,ممكن طريقة تنزيل الregistration slip من الportal إذا لم أكمل دفع الرسوم؟,ادخل على student portal.,"['registration slip', 'student portal']",2024-07-07
Visa Application Process for Cambodia,Visa/Immigration,ما هي الإجراءات للحصول على الفيزا الكمبودية؟,يعطونك فيزة في المطار عند الوصول وقيمتها حوالي 35 دولار ولكن أصبحوا مشددين.,"['visa', 'Cambodia', 'immigration']",2024-07-08
Testing Centers for Medical Examinations,Other,من أين أستطيع إجراء الفحص الطبي في ماليزيا؟,حسب الجهة التي ناوي تقدملها، بعضهم يحددون مراكز طبية معينة.,"['medical examination', 'Malaysia']",2024-07-09
Final Exam Rescheduling for Medical Reasons,Academic,هل اقدر اختبر الفاينل اعاده؟ اذا عندي MC,تقدر بس لازم تروح المكتب تكلمهم وتوريهم الMedical certificate عشان يعطوك special exam تاخذه بعدين,"['final', 'exam', 'medical certificate']",2024-07-11
Visa Requirements for Umrah,Visa/Immigration,انا اريد اقدم فيزة عمره اش المتطلبات؟,المتطلبات صورة جوازك وصورة شخصية وبعض المكاتب يطلب ضمان من مقيم في السعوديه أو ضمانه من تاجر في اليمن. السعر يختلف من مكتب لمكتب بس المتعارف عليه بين ٦٠٠ إلى ٧٠٠ ريال سعودي. تقدر تطلعها من مكتب هنا أو من مكتب في اليمن.,"['Umrah', 'visa requirements', 'Saudi Arabia']",2024-07-12
Changing Major at UTM,Academic,الي يبغا يغير تخصص في utm لازم يكنسل الفيزا كلها ويرجع من جديد كأنه طالب جديد وبالنسبة لرسوم التسجيل الي دفعها في البداية تكون عندهم خلاص ولا ادفع وحده ثانية ولا كيف وكم تاخذ المعاملة وقت هل نفس الفيزا مدة الاولى او اقل؟,يمكن تلاقي جواب عند مكتب SRAD - https://maps.app.goo.gl/jrtTX4HWq8X11mKV6?g_st=ic,"['change major', 'UTM', 'visa cancellation']",2024-07-15
Bank Services in Malaysia,Other,هل البطاقة البنكية بتاع اي بنك في ماليزيا بتكون ماشية الحوالات عليها في السعودية ولا لا يعني بقدر احول لأي شخص في ماليزيا وانا في السعودية وكذا؟,ايوه طبيعي بس اذا بتحاسب او بتسحب فلوس فالسعوديه فعل ال overseas,"['bank card', 'money transfer', 'Malaysia', 'Saudi Arabia']",2024-07-13
Best Universities for Master's in Architecture in Malaysia,Academic,ايش افضل الجامعات برأيكم لتخصص المهندسين المعمارية للماستر في ماليزيا؟,,"['universities', 'architecture', ""master's program"", 'Malaysia']",2024-07-13
Travel Requirements for Transit in Thailand,Visa/Immigration,هل الترانزيت في تايلند لليمنين مسموح بدون فيزا، مع خطوط طيران مخلفته ، اقل من ٦ ساعات ؟,لا يا شيخ محمد غير مسموح,"['ترانزيت', 'تايلند', 'فيزا', 'يمنيين']",2024-07-16
Visa for Transit through Singapore,Visa/Immigration,انا ناوي اسافر عبر خطوط الإتحاد لكن في ترانزيت في سنغافوره أربع ساعات. هل يحتاج فيزا؟,اتصل لطيران الاتحاد وكلمهم على رحلتك بالتفصيل وقل لهم أحتاج فيزا ترانزيت في سنغافورة أو لا وأول شي تقلهم جنسيتك.,"['ترانزيت', 'سنغافورة', 'فيزا', 'طيران الاتحاد']",2024-07-23
Student Status after Bridging Program,Academic,اليحن الي خلص برجنق يعتبر new student ولا لا وماهي الإجراءات المطلوبة بعد ما اخلص البرجنق؟,اذا نجحت في البردجينق خلاص كل الذي عليك انك تنتظر إلى قبل بدايه السمستر الجاي بأسبوع وهم بيتواصلون معك عبر الايميل.,"['برجنق', 'طالب جديد', 'إجراءات', 'سمستر']",2024-07-19
University Evaluation Process,Academic,ياشباب هل الايفالويشن حق الدكاتره ضروري اسويه؟,على كلام الكلية والجامعة لازم، بس هل فيه اجراءات تجاه اللي ما يسويه، ما قد سمعت.,"['تقييم', 'دكاترة', 'ضروري']",2024-07-23
Rental Car Options in Johor,Other,شباب تعرفو مكتب اقدر استأجر منه سيارة في جوهور اسلمها في كوالا؟,في تطبيق socar.,"['استئجار سيارة', 'جوهور', 'كوالا']",2024-07-18
Visa Duration for Language Students,Visa/Immigration,هل يحسب لطالب اللغة اللي جاي على فيزة الجامعة سنة من يوم يدخله ماليزيا أو من يوم تسجيله في UTM portal؟,لا يوجد جواب مباشر، استفسار يحتاج إلى مزيد من التفاصيل.,"['فيزا', 'طالب لغة', 'ماليزيا', 'UTM']",2024-07-24
Changing Academic Major after Foundation Year,Academic,هل ممكن يغير التخصص أو الكلية بعد إكمال الفاونديشن؟,تكنسل فيزتك الحالية وتخرج من البلد وتقدم فيزا جديدة على التخصص الجديد.,"['تغيير تخصص', 'فاونديشن', 'فيزا']",2024-07-25
Visa Renewal Procedures,Visa/Immigration,استفسار:انا بجدد الجواز وبعدين بجدد الفيزا ايش الاجراءات؟,تجدد الجواز ولما تجدد الفيزا ترفع لهم الجواز الجديد والقديم وأيضًا سيعملون الفيزا الجديدة على الجواز الجديد بشكل تلقائي.,"['تجديد الجواز', 'تجديد الفيزا']",2024-07-25
Work Permission for Students,Student Life,هل اقدر اتوظف و أنا طالب UTM؟,إذا كانت وظيفة بدوام جزئي داخل الجامعة مسموح بها، أما خارجها فهي مقيدة بشروط قد تتطلب موافقة الجامعة.,"['عمل', 'طالب', 'جامعة']",2024-07-27
Visa Cancellation Procedure,Visa/Immigration,هل اقدر أرسل أحد غيري يسلم الجواز حقي لutmi عشان اعمل visa cancellation ولا لازم اروح بنفسي؟,يجب أن تذهب بنفسك لتسليم الجواز.,"['إلغاء فيزا', 'جواز', 'UTMI']",2024-07-28
Tuition Fees for Mechatronics Program,Academic,هل شي حد يعرف كم قيمة الرسوم للسمستر الجاي تخصص ميكاترونيكس؟,بتنزل لك أثناء السمستر على UTM portal.,"['رسوم', 'ميكاترونيكس', 'سمستر']",2024-07-29
Health Declaration for Visa,Visa/Immigration,هل يعرف أحد معلومات إضافية حول health declaration المطلوب لتقديم فيزا EMGS؟,نعم، عليك ملء الاستمارة الخاصة بذلك المقدمة من الإدارة.,"['health declaration', 'EMGS', 'فيزا']",2024-07-29
Mathematics Book Request,Academic,هل يوجد أحد عنده كتاب الماث تبع UTM space سوفت كوبي يرسلي اياه؟,لا تدف طيب.,"['كتاب الماث', 'UTM', 'سوفت كوبي']",2024-01-05
Document Photography Locations,Student Life,كيف يمكنني تصوير مستندات؟,في واحد جنب الجي تي اكسبرس رخيص التصوير عنده.,"['تصوير مستندات', 'جي تي اكسبرس']",2024-01-05
Cleaning Services Contact,Student Life,هل في رقم أحد ينظف في ميلانا؟,+60 10-901 3995,"['تنظيف', 'ميلانا']",2024-01-05
Visa Requirement for Yemeni Passport Holders,Visa/Immigration,هل الجواز اليمني يحتاج فيزا للدخول الى سنغافورة؟,"نعم, يحتاج.","['جواز اليمن', 'فيزا', 'سنغافورة']",2024-05-03
University Library Timing,Academic,هل المكتبة حق الجامعة فاتحة اليوم؟,نعم إلى الساعه ٥ العصر.,"['مكتبة', 'جامعة', 'توقيت']",2024-04-05
Form Submission for University Process,Academic,بعد م تسوي اللانجويز سكل وش الي تسويه ترسل ل الجامعه ول عبر ايميلهم؟,ترسل النتيجه ل utm space مع بياناتك.,"['لانجويز سكل', 'إيميل', 'بيانات']",2024-04-04
Health Clinic Availability,Student Life,هل طوارئ الكلينك حق الجامعة فاتحة ٢٤ ساعة؟,اذا بعد الساعه ٨ الليل يقولك لازم تتصل يفتحولك.,"['طوارئ', 'كلينيك', 'جامعة']",2024-05-01
Fluoride Water Filters,Student Life,ايش افضل فلتر مويه اطلبه من لازادا او شوبي؟,احنا طلبنا هذا وشغال معانا كويس.,"['فلتر مويه', 'لازادا', 'شوبي']",2024-05-03
Masters Certificate Verification Inquiry,Visa/Immigration,هل المحلقيه الثقافية اليمنية تطلب بحث الماستر اللي اخذو ماستر مواد؟ عشان تصادق على شهادة الماستر,الملحقيه تبحث عن الفلوس حقك و لا تسأل إيش درست أو مادرست.. إدفع يصادقولك.,"['المحلقه الثقافية', 'شهادة الماستر', 'تصديق']",2024-05-06
Change of Mobile Network Provider,Other,كيف الواحد يغير شركة الاتصالات بدون ما يتغير الرقم؟,روح شركة الاتصالات الجديدة وكلمهم راح يأخذوا بياناتك يجيبوا لك شريحة جديدة بنفس الرقم تتفعل بعد ٢٤ ساعه,"['شركة الاتصالات', 'تغيير الرقم', 'شريحة جديدة']",2024-05-06
Visit Visa Inquiry for Saudi Arabia,Visa/Immigration,اقدر اقدم على زياره للسعوديه وفيزتي في ماليزيا سياحه؟,تقريباً فيز الزياره للسعوديه مقفله الفتره هذي الى بعد الحج.,"['زيارة', 'السعودية', 'فيزا']",2024-05-06
Tuition Fee Payment Inquiry,Academic,هل ممكن ادفع الرسوم على دفعتين بال utm smart ولا لازم مره وحده؟,تقدر.,"['الرسوم', 'الـUTM Smart', 'دفع دفعتين']",2024-05-10
Module Registration Dates,Academic,متى يقفل تسجيل المواد؟,من ١٦ إلى ٢٧.,"['تسجيل المواد', 'مواعيد', 'التقويم الأكاديمي']",2024-05-09
Certificate of Good Conduct Application,Visa/Immigration,هل في احد منكم قدم ع شهادت حسن السيره والسلوك Certificate of good conduct من الخارجيه الماليزيه؟,تدفع يوم تبغى تستلمها بس.,"['شهادة حسن السيرة', 'الخارجية الماليزية', 'التطبيق']",2024-05-10
Transfer Between UTM Branches,Student Life,هل يقدر الطالب الي يدرس في UTM فرع كوالا يحول إلى فرع جوهور؟,على حد علمي لا ،لانه فيزتك تخصص جوهور لازم تغير فيزا.,"['UTM', 'تحويل', 'كوالا', 'جوهور', 'فيزا']",2024-05-12
COVID-19 Rapid Test Locations,Student Life,هل في عيادة قريبة من الجامعة تطلع فحص كوفيد سريع؟,لست متأكد من مواقع محددة، يمكنك الاطلاع على الإنترنت أو الاستفسار من الزملاء.,"['فحص كوفيد', 'عيادة', 'جامعة']",2024-05-12
Public Survey for Travel Application,Academic,هل يمكنكم المشاركة في الاستبيان لبرنامج تطبيق السفر؟,نعم، يمكنكم المشاركة عبر هذا الرابط: https://forms.gle/9enVPRARZQHH76p5A.,"['استبيان', 'تطبيق سفر', 'شارك']",2024-05-12
International Students Health Insurance,Visa/Immigration,هل يجب أن تكون التذكرة لليمن عند طلب تجديد الفيزا؟,تستطيع عمل تذكرة لأي بلد في العالم، ليس شرطاً أن تكون لليمن.,"['تجديد الفيزا', 'تذكرة', 'يمن']",2024-05-14
Medical Insurance Refund Procedures,Student Life,هل يمكنني استرداد المبلغ المدفوع للمستشفى إذا كان التامين يغطيها؟,تواصل مع التأمين الصحي لتقديم طلب الاسترداد، في حال كان التأمين يشمل الإجراء.,"['استرداد', 'تأمين', 'مستشفى']",2024-05-15
Upcoming Course Registration Dates,Academic,متى يبدا تسجيل المواد؟,التسجيل للمواد السمستر الجاي يبدا من 16 June.,"['تسجيل المواد', 'الموسم الدراسي', 'جامعة']",2024-05-16
Dental Clinics Recommendations,Student Life,هل في حد جرب عياده أسنان (متخصصه) ممتازه وياحبذا تكون أسعارهم طيبه؟,هناك عيادة اسنان ممتازة اسمها Hong Specialist Clinic، لكن تأكد من أسعارهم لأن بعضها قد يكون مرتفع.,"['عيادة أسنان', 'توصيات', 'أسعار']",2024-05-16
Final Exam Schedule Queries,Academic,متى آخر امتحان في البريجنج ومتى أول يوم لتسجيل في السمستر الجديد؟,التواريخ قد تتغير قليلاً كل سنة، لذلك تحقق من التقويم الأكاديمي الحالي.,"['الامتحانات النهائية', 'التقويم الأكاديمي', 'تسجيل']",2024-05-17
Visa Regulations for Malaysian Students,Visa/Immigration,هل بالإمكان ان يخرج الطالب اليمني الى سنغافورة لبضعة ايام عند نهاية فيزا الجامعة ثم يعود لماليزيا بفيزا سياحة؟,صعبة انك تطلع فيزه اذا فيزة الطالب منتهيه ولكن الى لاوس ممكن والفيزة الى لاوس عند الوصول. العودة الى ماليزيا طبيعي فيزة عند الوصول سياحية مدتها 3 أشهر.,"['سنغافورة', 'فيزا سياحة', 'ماليزيا', 'لاوس']",2024-05-18
Best Internet Service Provider Near Disa,Student Life,ايش افضل شركة نت للبيت في ديسا؟,احنا ماخذين RATE ONE FIBER ممتازة مره.,"['شركة نت', 'ديسا', 'RATE ONE FIBER']",2024-05-22
Student Contact for University Electrical Department,Academic,ممكن رقم مكتب كلية الكهرباء؟,Contact card omitted.,"['رقم', 'مكتب', 'كلية كهرباء']",2024-05-25
Feedback on EMS Institute in Kuala,Academic,كيف معهد EMS في كوالا؟ هل هيا جيدة للمبتدئين؟,العرب فيه كثير وجدا ولكن المعاهد كلها تدرس بطرق متقاربه. المعهد مش كل شيء يعتمد عليك.,"['معهد EMS', 'كوالا', 'المبتدئين']",2024-05-24
Traveling for Malaysian Student Visa,Visa/Immigration,كيف يمكنني التقديم على student visa خارج ماليزيا؟,اندونيسيا اقرب دولة ولها فيزا لكنها مكلفة.,"['student visa', 'ماليزيا', 'اندونيسيا']",2024-05-24
معهد تعليم اللغة,Academic,كيف يمكن تحسين مهارات الكتابة في المعهد؟,المعاهد كلها تدرس بطرق متقاربة، والمجهود الشخصي هو الذي يفرق. تركز على الحفظ والممارسة، وتستفيد من التصحيح والسؤال.,"['معهد', 'تعليم', 'لغة', 'مهارات الكتابة']",2024-05-24
رقم مكتب كلية الكهرباء,Academic,ممكن رقم مكتب كلية الكهرباء؟,Contact card omitted.,"['كلية', 'كهرباء', 'رقم مكتب']",2024-05-25
تجديد الفيزا,Visa/Immigration,ما هي خطوات تجديد الفيزا؟,اذهب إلى حسابك في UTM Portal واختر International Apps. بعدها اضغط على Passport/Visa info... واتبع التعليمات.,"['تجديد الفيزا', 'الخطوات', 'UTM Portal']",2024-05-28
التحقق من تقرير الحضور,Academic,هل يمكنني الحصول على تقرير الحضور من مكتب الكلية؟,يمكنك الإرسال لمكتب كليتك عبر الايميل. كما يمكنك استخراج الstatus verification letter من البورتال.,"['تقرير الحضور', 'مكتب الكلية', 'status verification letter']",2024-05-28
سحب الأموال من حساب سعودي في ماليزيا,Other,ما هي أفضل طريقة لسحب الأموال من حساب سعودي في ماليزيا؟,استخدم الصرافة، وإذا كان المبلغ أكثر من 1500 رنجيت، عليك سحب ورقة فئة 100 لتقليل العمولة.,"['سحب الأموال', 'حساب سعودي', 'ماليزيا']",2024-05-30
إجراءات السياحة لماليزيا,Visa/Immigration,ما هي الإجراءات الواجب اتباعها عند زيارة ماليزيا كسائح؟,تحتاج إلى تذكرة عودة، حجز فندق، ومبلغ كاش.,"['سياحة', 'إجراءات', 'ماليزيا']",2024-05-31
الاتصال بالسفارة الماليزية,Visa/Immigration,كيف يمكنني الاتصال بالسفارة الماليزية للسؤال عن إجراءات الدخول؟,يمكنك الاتصال بالقنصلية الماليزية في جدة على الرقم 00 966 12 672 7740.,"['السفارة الماليزية', 'الاتصال', 'إجراءات الدخول']",2024-05-31
الرياضة في الجامعة,Student Life,هل يوجد نادي رياضي في الجامعة؟,يمكنك التواصل مع قسم الرياضة في الجامعة عبر الموقع: https://studentaffairs.utm.my/sports/,"['نادي رياضي', 'الجامعة', 'الرياضة']",2024-06-01
Cancellation of Visa for Engineers,Visa/Immigration,هل في احد من الشباب لغى إقامته في السعودية و رجع و سجل في هئية المهندسين؟,و هل طلبوا منه خبره ٥ سنين؟,"['إلغاء إقامة', 'السعودية', 'هيئة المهندسين']",2024-01-08
Graduation Visa for Malaysian Graduates,Visa/Immigration,احد عنده خلفيه عن فيزة التخرج؟ الي مدتها سنة للخرجين من جامعات ماليزيا.,للأسف ليست لليمنيين. [link](https://visa.educationmalaysia.gov.my/graduate-pass),"['Graduation Visa', 'ماليزيا', 'شهادة تخرج']",2024-01-08
Payment of Admission Fees,Academic,ابغى اسدد رسوم القبول هل في طريقة اقدر احول للجامعه من السعودية؟,جرب تدفع عن طريق الموقع الجديد https://payhub.utm.my.,"['رسوم قبول', 'تحويل من السعودية', 'UTM']",2024-02-08
Police Report for Traffic Accidents,Other,هل اذا صار حادث السيارة والبايك، هل راح يخالفوا صاحب البايك لأنه ما عنده Road tax ولا Insurance؟,صاحب السياره بيتحمل الغلط وبيدفع مخالفة برضه.,"['حادث', 'تأمين', 'شرطة']",2024-03-08
Documents Required for Visa Cancellation,Visa/Immigration,ايش الاوراق المطلوبة عشان الواحد يكنسل الفيزا؟,,"['إلغاء فيزا', 'أوراق مطلوبة']",2024-07-08
Rental Gown for Graduation,Academic,من وين يقدر الواحد يستأجر الروب حق التخرج، وبكم؟,ترسل إيميل إلى konvo@utm.my وراح يطلبوا منك تعبي الفورم وباقي الإجراءات.,"['استئجار روب', 'تخرج', 'إيميل']",2024-07-08
Renewing Passport and Visa Procedures,Visa/Immigration,إذا بجدد الجواز في السعودية و بعدها بجدد الفيزا هل في شي لازم اسويه قبل؟,لا، بعد ما تجدد الجواز تنقل الفيزا على الجواز الجديد.,"['تجديد جواز', 'تجديد فيزا', 'إجراءات']",2024-05-08
